Provider_Number,Provider_Number,Readm_rate
330340,330340,"1.003617756"
330397,330397,"0"
340003,340003,"1.021442399"
340004,340004,"0.926904474"
340008,340008,"0.994235002"
340014,340014,"0.977203755"
340020,340020,"1.03557351"
340021,340021,"1.016498565"
340023,340023,"1.008012914"
340024,340024,"0"
340027,340027,"1.034300603"
340028,340028,"1.060128734"
340030,340030,"1.001933757"
340040,340040,"1.11954752"
340042,340042,"0.985700154"
340051,340051,"1.000966431"
340053,340053,"1.07819284"
340060,340060,"1.033444184"
340064,340064,"0.997202378"
340068,340068,"0"
340070,340070,"0.932778102"
340085,340085,"0.978777738"
340097,340097,"0.923952595"
340106,340106,"0"
340107,340107,"0.953840439"
340114,340114,"1.014019424"
340115,340115,"1.017075365"
340116,340116,"0.857645329"
340123,340123,"1.00540714"
340127,340127,"0.951990762"
340129,340129,"1.028387287"
340132,340132,"0.976865508"
340133,340133,"1.025583796"
340141,340141,"1.006119394"
340142,340142,"0.999488909"
340143,340143,"1.027333611"
340144,340144,"0"
340147,340147,"1.036878745"
340159,340159,"0"
340183,340183,"1.022572192"
350011,350011,"0.856633403"
350019,350019,"0.983917809"
360006,360006,"1.040589103"
360008,360008,"1.07957933"
360014,360014,"0"
360017,360017,"0.896854145"
360026,360026,"0"
360027,360027,"0.981638346"
360029,360029,"0"
360036,360036,"0.926194953"
360040,360040,"0.90792841"
360044,360044,"0"
360051,360051,"0.960165873"
360055,360055,"1.026355988"
360056,360056,"1.0708656"
360071,360071,"0.97062689"
360072,360072,"1.046520116"
360079,360079,"0.955747749"
360080,360080,"0.999858043"
360082,360082,"0"
360084,360084,"1.054035069"
360086,360086,"0.983655053"
360087,360087,"0"
360089,360089,"0"
360091,360091,"0.969919431"
360095,360095,"0.863095374"
360096,360096,"0"
360109,360109,"0"
360125,360125,"1.02448088"
360131,360131,"0.968031929"
360137,360137,"1.020491314"
360143,360143,"1.064169385"
360144,360144,"0.967984284"
360148,360148,"0"
360151,360151,"0.989951177"
360153,360153,"0"
360155,360155,"0.98301786"
360174,360174,"1.078031173"
360197,360197,"0.976840759"
360218,360218,"1.020976849"
360230,360230,"0.951593445"
360270,360270,"0"
360348,360348,"0"
370001,370001,"1.058507214"
370007,370007,"0"
370011,370011,"0"
370016,370016,"0.983687432"
370022,370022,"1.012834499"
370034,370034,"0.983123245"
370036,370036,"0"
370039,370039,"0.980352056"
370040,370040,"0"
370041,370041,"0"
370048,370048,"0"
370049,370049,"0.961698678"
370056,370056,"0.872768556"
370065,370065,"0"
370072,370072,"0"
370078,370078,"1.131946106"
370097,370097,"0"
370100,370100,"0"
370112,370112,"0"
370153,370153,"0"
370156,370156,"0"
370158,370158,"0"
370166,370166,"0"
370183,370183,"0"
370202,370202,"0.957326262"
370218,370218,"0.986194842"
380001,380001,"0.925095542"
380002,380002,"0.926453974"
380014,380014,"0.953707968"
380018,380018,"0.768401175"
380020,380020,"1.019318789"
380022,380022,"0"
380025,380025,"1.019123386"
380029,380029,"0"
380037,380037,"0"
380038,380038,"0.987957769"
380050,380050,"0.966366269"
380051,380051,"0.857414753"
380056,380056,"0"
380061,380061,"0.917630272"
380071,380071,"0.942503046"
380075,380075,"1.004897841"
380082,380082,"0"
380090,380090,"1.074045906"
390004,390004,"0.988186614"
390006,390006,"1.105584731"
390008,390008,"0"
390009,390009,"1.01523425"
390013,390013,"0.98865234"
390019,390019,"1.11234303"
390026,390026,"1.071327427"
390027,390027,"1.004025606"
390030,390030,"1.027339272"
390031,390031,"1.070504992"
390036,390036,"1.102137052"
390037,390037,"1.008947994"
390039,390039,"0.994396954"
390041,390041,"0.942499508"
390043,390043,"0.98875314"
390045,390045,"0.943327871"
390050,390050,"1.028313722"
390057,390057,"1.016143013"
